type,amountOfAttributes,executionTime
merkletree,1,29
merkletree,2,0
merkletree,3,0
merkletree,4,1
merkletree,5,0
merkletree,6,1
merkletree,7,0
merkletree,8,0
merkletree,9,0
merkletree,10,1
merkletree,11,0
merkletree,12,1
merkletree,13,0
merkletree,14,0
merkletree,15,0
merkletree,16,1
merkletree,17,0
merkletree,18,0
merkletree,19,0
merkletree,20,1
merkletree,21,0
merkletree,22,0
merkletree,23,1
merkletree,24,0
merkletree,25,0
merkletree,26,0
merkletree,27,1
merkletree,28,0
merkletree,29,0
merkletree,30,0
merkletree,31,0
merkletree,32,1
merkletree,33,0
merkletree,34,0
merkletree,35,1
merkletree,36,0
merkletree,37,0
merkletree,38,0
merkletree,39,1
merkletree,40,0
merkletree,41,0
merkletree,42,1
merkletree,43,1
merkletree,44,0
merkletree,45,1
merkletree,46,0
merkletree,47,0
merkletree,48,1
merkletree,49,0
merkletree,50,0
merkletree,51,0
merkletree,52,1
merkletree,53,0
merkletree,54,0
merkletree,55,1
merkletree,56,0
merkletree,57,0
merkletree,58,1
merkletree,59,0
merkletree,60,0
merkletree,61,1
merkletree,62,0
merkletree,63,1
merkletree,64,0
merkletree,65,1
merkletree,66,0
merkletree,67,0
merkletree,68,1
merkletree,69,0
merkletree,70,1
merkletree,71,1
merkletree,72,0
merkletree,73,1
merkletree,74,0
merkletree,75,1
merkletree,76,0
merkletree,77,0
merkletree,78,1
merkletree,79,0
merkletree,80,1
merkletree,81,0
merkletree,82,0
merkletree,83,1
merkletree,84,0
merkletree,85,1
merkletree,86,0
merkletree,87,1
merkletree,88,0
merkletree,89,0
merkletree,90,1
merkletree,91,1
merkletree,92,0
merkletree,93,0
merkletree,94,0
merkletree,95,0
merkletree,96,1
merkletree,97,0
merkletree,98,0
merkletree,99,1
merkletree,100,0
merkletree,101,0
merkletree,102,1
merkletree,103,0
merkletree,104,0
merkletree,105,1
merkletree,106,0
merkletree,107,0
merkletree,108,0
merkletree,109,0
merkletree,110,0
merkletree,111,1
merkletree,112,0
merkletree,113,0
merkletree,114,0
merkletree,115,0
merkletree,116,0
merkletree,117,0
merkletree,118,0
merkletree,119,0
merkletree,120,0
merkletree,121,0
merkletree,122,1
merkletree,123,0
merkletree,124,0
merkletree,125,0
merkletree,126,0
merkletree,127,0
merkletree,128,0
merkletree,129,1
merkletree,130,0
merkletree,131,0
merkletree,132,0
merkletree,133,0
merkletree,134,0
merkletree,135,0
merkletree,136,0
merkletree,137,1
merkletree,138,0
merkletree,139,0
merkletree,140,0
merkletree,141,0
merkletree,142,0
merkletree,143,0
merkletree,144,1
merkletree,145,0
merkletree,146,0
merkletree,147,0
merkletree,148,0
merkletree,149,0
merkletree,150,1
merkletree,151,0
merkletree,152,0
merkletree,153,0
merkletree,154,0
merkletree,155,0
merkletree,156,0
merkletree,157,1
merkletree,158,0
merkletree,159,0
merkletree,160,0
merkletree,161,0
merkletree,162,0
merkletree,163,0
merkletree,164,1
merkletree,165,0
merkletree,166,0
merkletree,167,0
merkletree,168,0
merkletree,169,0
merkletree,170,1
merkletree,171,0
merkletree,172,0
merkletree,173,0
merkletree,174,0
merkletree,175,0
merkletree,176,0
merkletree,177,0
merkletree,178,1
merkletree,179,0
merkletree,180,0
merkletree,181,0
merkletree,182,1
merkletree,183,0
merkletree,184,0
merkletree,185,0
merkletree,186,0
merkletree,187,0
merkletree,188,1
merkletree,189,0
merkletree,190,0
merkletree,191,0
merkletree,192,0
merkletree,193,0
merkletree,194,1
merkletree,195,0
merkletree,196,0
merkletree,197,0
merkletree,198,0
merkletree,199,1
merkletree,200,0
merkletree,201,0
merkletree,202,0
merkletree,203,0
merkletree,204,0
merkletree,205,1
merkletree,206,0
merkletree,207,0
merkletree,208,0
merkletree,209,0
merkletree,210,1
merkletree,211,0
merkletree,212,0
merkletree,213,0
merkletree,214,0
merkletree,215,0
merkletree,216,0
merkletree,217,1
merkletree,218,0
merkletree,219,0
merkletree,220,0
merkletree,221,0
merkletree,222,0
merkletree,223,0
merkletree,224,1
merkletree,225,0
merkletree,226,0
merkletree,227,0
merkletree,228,0
merkletree,229,0
merkletree,230,1
merkletree,231,0
merkletree,232,0
merkletree,233,0
merkletree,234,0
merkletree,235,1
merkletree,236,0
merkletree,237,0
merkletree,238,0
merkletree,239,0
merkletree,240,0
merkletree,241,1
merkletree,242,0
merkletree,243,0
merkletree,244,0
merkletree,245,0
merkletree,246,0
merkletree,247,1
merkletree,248,0
merkletree,249,0
merkletree,250,0
merkletree,251,0
merkletree,252,1
merkletree,253,0
merkletree,254,0
merkletree,255,2
merkletree,256,0
merkletree,257,1
merkletree,258,0
merkletree,259,0
merkletree,260,1
merkletree,261,0
merkletree,262,0
merkletree,263,0
merkletree,264,0
merkletree,265,0
