type,amountOfAttributes,executionTime
hashlist,1,24
hashlist,2,0
hashlist,3,1
hashlist,4,0
hashlist,5,0
hashlist,6,1
hashlist,7,0
hashlist,8,0
hashlist,9,0
hashlist,10,0
hashlist,11,1
hashlist,12,0
hashlist,13,0
hashlist,14,0
hashlist,15,1
hashlist,16,0
hashlist,17,0
hashlist,18,1
hashlist,19,0
hashlist,20,0
hashlist,21,1
hashlist,22,0
hashlist,23,0
hashlist,24,0
hashlist,25,0
hashlist,26,1
hashlist,27,0
hashlist,28,0
hashlist,29,0
hashlist,30,0
hashlist,31,1
hashlist,32,0
hashlist,33,0
hashlist,34,1
hashlist,35,0
hashlist,36,0
hashlist,37,0
hashlist,38,0
hashlist,39,1
hashlist,40,0
hashlist,41,0
hashlist,42,0
hashlist,43,0
hashlist,44,1
hashlist,45,0
hashlist,46,0
hashlist,47,0
hashlist,48,1
hashlist,49,0
hashlist,50,0
hashlist,51,0
hashlist,52,1
hashlist,53,0
hashlist,54,0
hashlist,55,1
hashlist,56,0
hashlist,57,0
hashlist,58,1
hashlist,59,0
hashlist,60,0
hashlist,61,0
hashlist,62,1
hashlist,63,0
hashlist,64,0
hashlist,65,1
hashlist,66,0
hashlist,67,0
hashlist,68,1
hashlist,69,0
hashlist,70,0
hashlist,71,0
hashlist,72,1
hashlist,73,0
hashlist,74,0
hashlist,75,0
hashlist,76,0
hashlist,77,1
hashlist,78,0
hashlist,79,0
hashlist,80,0
hashlist,81,1
hashlist,82,0
hashlist,83,1
hashlist,84,0
hashlist,85,0
hashlist,86,1
hashlist,87,0
hashlist,88,0
hashlist,89,0
hashlist,90,1
hashlist,91,0
hashlist,92,0
hashlist,93,0
hashlist,94,0
hashlist,95,1
hashlist,96,0
hashlist,97,0
hashlist,98,0
hashlist,99,0
hashlist,100,0
hashlist,101,1
hashlist,102,0
hashlist,103,0
hashlist,104,0
hashlist,105,1
hashlist,106,0
hashlist,107,0
hashlist,108,0
hashlist,109,0
hashlist,110,1
hashlist,111,0
hashlist,112,0
hashlist,113,0
hashlist,114,0
hashlist,115,1
hashlist,116,0
hashlist,117,0
hashlist,118,1
hashlist,119,0
hashlist,120,0
hashlist,121,0
hashlist,122,1
hashlist,123,0
hashlist,124,0
hashlist,125,1
hashlist,126,0
hashlist,127,0
hashlist,128,0
hashlist,129,0
hashlist,130,1
hashlist,131,0
hashlist,132,0
hashlist,133,0
hashlist,134,0
hashlist,135,0
hashlist,136,1
hashlist,137,0
hashlist,138,0
hashlist,139,1
hashlist,140,0
hashlist,141,0
hashlist,142,1
hashlist,143,0
hashlist,144,0
hashlist,145,1
hashlist,146,0
hashlist,147,0
hashlist,148,0
hashlist,149,1
hashlist,150,0
